Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chest,0.0486539170160646,-0.0158260558409493,0.000849227187303221,0,0,0,0.384797133375516,0.000827350308515422,2.51172274158082E-05,-1.35395876461972E-05,0.00102321616014153,-5.76631141263241E-06,0.00129444186345337,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Chest.STL,,URDF_Chest_18-1;TS_01-13,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Shoulder_Pivot,0.0472660352040359,-0.0137375443600315,0.00283006638351754,0,0,0,0.517073056378261,0.000953203129770561,0.000270991772409371,1.04047661559669E-05,0.000795650582426599,-4.51441680250378E-05,0.00116803621428185,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Shoulder_Pivot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Shoulder_Pivot.STL,,URDF_Shoulder_Front_90_Yaw-1;TS_01-14,Origin_Shoulder_Pitch,Axis_Shoulder_Pitch,Shoulder_Pitch,continuous,0,0,0,0,0,-3.1416,Chest,1,0,0,,,,,,,,,,,,
Shoulder_Hum,-0.000679663769358699,0.00474632088645272,-0.0469193689786717,0,0,0,0.169315310677218,0.000277366936156619,8.11081868823706E-07,4.21668920697753E-06,0.000250563922792207,-2.87016786639683E-05,0.000182588527261188,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Shoulder_Hum.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Shoulder_Hum.STL,,URDF_Shoulder_Front_90_Humeral-1;TS_01-15;TS_01-16,Origin_Shoulder_Yaw,Axis_Shoulder_Yaw,Shoulder_Yaw,continuous,0.0844,0,0,0,0,0,Shoulder_Pivot,0,1,0,,,,,,,,,,,,
Upper_Arm,0.000146918760544609,-0.117029355469513,-0.00787431692258475,0,0,0,1.37733794449701,0.00748144452872091,-2.33510085584971E-06,3.56837433220179E-06,0.00136578713824918,-0.000191283941090138,0.00731931934322511,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Upper_Arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Upper_Arm.STL,,URDF_Elbow_Upper_76-1;TS_01-17;TS_01-18,Origin_Shoulder_Roll,Axis_Shoulder_Roll,Shoulder_Roll,continuous,0,-2.4268E-05,-0.065,1.5708,0,3.1416,Shoulder_Hum,0,1,0,,,,,,,,,,,,
Elbow,0.0176518340383924,-0.020125492111251,-0.014865011197171,0,0,0,0.352345424091274,0.000649796864235185,-0.000157783983908942,0.000111546097845255,0.000463562555958507,9.03162634461677E-05,0.000737266163669184,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Elbow.STL,,URDF_Elbow_08-2;TS_01-19,Origin_Arm_Flexion,Axis_Arm_Flexion,Arm_Flexion,continuous,0,-0.237,0,0.04017,-0.17997,-1.3417,Upper_Arm,0.22339,0.97146,-0.07972,,,,,,,,,,,,
Forearm,0.00133747937450716,-0.00599370747357174,0.0942985460788799,0,0,0,0.846416236459816,0.00299895167204582,9.27955916697098E-06,-1.47942653231755E-05,0.00307229073678094,0.000202544670567948,0.000673642046176671,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Forearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Forearm.STL,,URDF_Forearm_Duplex_Wrist_v2_27a-1;TS_01-4;TS_01-3;TS_01-1;TS_01-2,Origin_Wrist_Roll,Axis_Wrist_Roll,Wrist_Roll,continuous,0.054818,-0.014646,-0.027856,-2.6917,1.3864,-2.9243,Elbow,0,0,1,,,,,,,,,,,,
Wrist_Proximal,-5.2410298736344E-08,-0.01879886659832,-9.94505815060664E-08,0,0,0,0.0403794380308226,1.22218350360084E-05,1.1925341865885E-11,-1.39543986184932E-11,1.64063420282494E-05,2.47555453996151E-11,1.35060026796524E-05,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Wrist_Proximal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Wrist_Proximal.STL,,URDF_Wrist_Proximal_20-1;TS_01-5;TS_01-6;TS_01-7;TS_01-8,Origin_Wrist_Pitch_01,Axis_Wrist_Pitch_01,Wrist_Pitch_01,continuous,0,-0.012,0.20395,-1.5708,0,0,Forearm,1,0,0,,,,,,,,,,,,
Wrist_Distal,2.10547095695623E-08,0.00549455984932445,-9.61281902689404E-09,0,0,0,0.019964820760825,3.01025349721734E-06,-4.97878188646849E-12,-6.51661357442016E-12,3.40653141264907E-06,3.36339839733877E-13,4.32184061652863E-06,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Wrist_Distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Complete_Arm_44e.SLDASM/meshes/Wrist_Distal.STL,,URDF_Wrist_Distal_20-1,Origin_Wrist_Yaw,Axis_Wrist_Yaw,Wrist_Yaw,continuous,0,-0.029,0,3.1416,0,0,Wrist_Proximal,0,0,1,,,,,,,,,,,,
